distance,image_path_a,image_path_b,split_a,split_b,sha256_a,sha256_b
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_153218-0-_jpg.rf.51afd74730926620f48965aa8dfe489d.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/old_20240701_153218-0-_jpg.rf.935f394f05a539e482385c0e360d2d02.jpg,train,valid,cc317c35912ada33ee7b8bdeb4f3044d282b5d2b8e436a6bdbc92de46215cee1,dbdd5d88335fb37b356dfe98ce1aa83cfe5fed331cecf5f9bccb6abbce7856f9
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_111906_jpg.rf.b613c012e694ffc4ea3a2f8dd17b1647.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_111906_jpg.rf.b7643a5b4151ba37c77834c938c4c983.jpg,train,train,881173f1a0a7c7f572583ae573ccfa9d69f0a2ab73eca0a3c4df526e51ebbd43,1140949689ab7a6d37bdca80df42e1c6c2d6a336cc3a9276612369c14d5708c1
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_111906_jpg.rf.b613c012e694ffc4ea3a2f8dd17b1647.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_111906_jpg.rf.c4278c15173a7cae6ef2945f5d645a80.jpg,train,train,881173f1a0a7c7f572583ae573ccfa9d69f0a2ab73eca0a3c4df526e51ebbd43,09c752f6fa818ab160491b820f32be3ec450851fd4fae2da19860754931f3be6
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_111906_jpg.rf.b7643a5b4151ba37c77834c938c4c983.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_111906_jpg.rf.c4278c15173a7cae6ef2945f5d645a80.jpg,train,train,1140949689ab7a6d37bdca80df42e1c6c2d6a336cc3a9276612369c14d5708c1,09c752f6fa818ab160491b820f32be3ec450851fd4fae2da19860754931f3be6
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_113203_jpg.rf.4070f3a79bc0ec2b1f95be61d8f5db7a.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_113203_jpg.rf.55a9fab52cc172b071131bfa5ff3d9c6.jpg,train,train,1858b46fd3151a9d9e11941e7a8ad48ef9017cdbe9ebdf0d13269d99cff79e32,5527b4e7a3d9d484b6c5c506e9fa6a0cc2abca4e876f46ede7054ab4a396ce7f
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_113203_jpg.rf.4070f3a79bc0ec2b1f95be61d8f5db7a.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_113203_jpg.rf.9003043abf6ff1694be4fe90d13722ac.jpg,train,train,1858b46fd3151a9d9e11941e7a8ad48ef9017cdbe9ebdf0d13269d99cff79e32,a913a266f77860e02d4b06ef44307ff4f078178394425c90739c8bd797c5a172
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_113203_jpg.rf.55a9fab52cc172b071131bfa5ff3d9c6.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_113203_jpg.rf.9003043abf6ff1694be4fe90d13722ac.jpg,train,train,5527b4e7a3d9d484b6c5c506e9fa6a0cc2abca4e876f46ede7054ab4a396ce7f,a913a266f77860e02d4b06ef44307ff4f078178394425c90739c8bd797c5a172
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123007_jpg.rf.09fa988feef5af657664c8e285566db4.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123007_jpg.rf.0f13a536f9c1abb5644a57879e1a38cc.jpg,train,train,801e8d69fd865e81d39f3a43949e8313eac2a73d269173c534bfcaf32a11be95,0234eb2c2c9fe22a4c27af4d99e90a2ab0a33297b0bd687749ee52df3d4d9e58
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123007_jpg.rf.09fa988feef5af657664c8e285566db4.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123007_jpg.rf.41c22146810f3cce2326185fa5372605.jpg,train,train,801e8d69fd865e81d39f3a43949e8313eac2a73d269173c534bfcaf32a11be95,84f346dec7f8a576d2f0f9609f2479b519262eaded1f02f5a9f2cb7adc480995
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123007_jpg.rf.0f13a536f9c1abb5644a57879e1a38cc.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123007_jpg.rf.41c22146810f3cce2326185fa5372605.jpg,train,train,0234eb2c2c9fe22a4c27af4d99e90a2ab0a33297b0bd687749ee52df3d4d9e58,84f346dec7f8a576d2f0f9609f2479b519262eaded1f02f5a9f2cb7adc480995
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123547_jpg.rf.22085c0949b28395be7afc3b2c67b7b4.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123547_jpg.rf.5056b9aba0ff967084e93f232a5e3ce9.jpg,train,train,86b6c9a0ec7e01e62c36d867aaf026ea9b15d8e8ee541f2b8df5381935c718b8,867949fd85490271185fe31c6b01ec1fe18782a9409d80289eee9d50d4f43b01
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123547_jpg.rf.22085c0949b28395be7afc3b2c67b7b4.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123547_jpg.rf.adc05e24e84752036c71c13b50cc8fcf.jpg,train,train,86b6c9a0ec7e01e62c36d867aaf026ea9b15d8e8ee541f2b8df5381935c718b8,0d58f6f094284f76593c1e8f71376385143e02298fe4687c655d149af0cb9abc
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123547_jpg.rf.5056b9aba0ff967084e93f232a5e3ce9.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_123547_jpg.rf.adc05e24e84752036c71c13b50cc8fcf.jpg,train,train,867949fd85490271185fe31c6b01ec1fe18782a9409d80289eee9d50d4f43b01,0d58f6f094284f76593c1e8f71376385143e02298fe4687c655d149af0cb9abc
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_124119_jpg.rf.207e41bfe45918b590bbb31a691fc9e0.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_124119_jpg.rf.724408c03f79f528e54eff211dfb21fc.jpg,train,train,12694aba33a6e0595bfa043f858f2141177ef9ca3e9c3beb9df05fbff2a51f95,ac9613b0830f1e73a3855861c0a6ffa91e8e659a163765176bc315dcf3c157be
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_124119_jpg.rf.207e41bfe45918b590bbb31a691fc9e0.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_124119_jpg.rf.b05a323eb86eacb4fa11f83ddbf95842.jpg,train,train,12694aba33a6e0595bfa043f858f2141177ef9ca3e9c3beb9df05fbff2a51f95,58f4ba4b8de9e0c9c3947aabd2285aba1dea998c7843d814be35d9a47e49d8c1
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_124119_jpg.rf.724408c03f79f528e54eff211dfb21fc.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_124119_jpg.rf.b05a323eb86eacb4fa11f83ddbf95842.jpg,train,train,ac9613b0830f1e73a3855861c0a6ffa91e8e659a163765176bc315dcf3c157be,58f4ba4b8de9e0c9c3947aabd2285aba1dea998c7843d814be35d9a47e49d8c1
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125511_jpg.rf.1b36c71674dfdb0ae8d198bc6d88cce7.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125511_jpg.rf.3c935f20665c406025417a59d6fac6c7.jpg,train,train,b075b868d584f0f3b0064c1ac21a898210a852605c4e27765dfa8c99e58f54da,185dc68a240beeb514956f3cd9271fd760bc5e410a266664acb491ffb939dd4d
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125511_jpg.rf.1b36c71674dfdb0ae8d198bc6d88cce7.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125511_jpg.rf.c229282b1eb2a243b1786a4ffe0f3c40.jpg,train,train,b075b868d584f0f3b0064c1ac21a898210a852605c4e27765dfa8c99e58f54da,0c72c1c76720668db538f67aaec2ebbe6a98fed81da0019b3d722af081a363b1
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125511_jpg.rf.3c935f20665c406025417a59d6fac6c7.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125511_jpg.rf.c229282b1eb2a243b1786a4ffe0f3c40.jpg,train,train,185dc68a240beeb514956f3cd9271fd760bc5e410a266664acb491ffb939dd4d,0c72c1c76720668db538f67aaec2ebbe6a98fed81da0019b3d722af081a363b1
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125617_jpg.rf.798e9f13927f6a7ddc4d4e8e39f77554.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125617_jpg.rf.9a23800bef93dcd25d35902df9d5ce3c.jpg,train,train,f14ed0eaa1968b7b4ff651ce3c8116a1b6d8c47d79c6c60c8de8d3df1104da55,fbc5c37f0241d7d452b55e3d031cea8c6e6f58bfc6cf869773ae6bc3ede8fb84
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125617_jpg.rf.798e9f13927f6a7ddc4d4e8e39f77554.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125617_jpg.rf.bd8138b505969640d16f624f27ad1da2.jpg,train,train,f14ed0eaa1968b7b4ff651ce3c8116a1b6d8c47d79c6c60c8de8d3df1104da55,243381c10097e77d420021cba42b489ad30a02a4fd7924b895f588b67894db2b
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125617_jpg.rf.9a23800bef93dcd25d35902df9d5ce3c.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_IMG_20240701_125617_jpg.rf.bd8138b505969640d16f624f27ad1da2.jpg,train,train,fbc5c37f0241d7d452b55e3d031cea8c6e6f58bfc6cf869773ae6bc3ede8fb84,243381c10097e77d420021cba42b489ad30a02a4fd7924b895f588b67894db2b
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_istockphoto-450669273-612x612-1-_jpg.rf.2b0cf2ef040ae5c062f3fbbed004361c.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_istockphoto-450669273-612x612-1-_jpg.rf.48dcd376e1a16f91d51e4ffed3c33ce5.jpg,train,train,864eea0c8005732f4761aa662bb8325758587d50ad6a1001c2c04fecf0e67f65,073e59ade29117fb91b86fb06de5db17917c37571373c7b52d9e083ffedd2ce4
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/trees-growing-in-the-roof-gutter-15-_jpg.rf.99c859b5ffbcb5995997412d98d911c9.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/depositphotos_406615398-stock-photo-yellow-leaves-covered-iron-gutter_jpg.rf.1823b26d7b10341bf7735294e160cdec.jpg,train,valid,81905f35da8fae160fe7920d4785897c948cdd1dfad4603a3db96e9466872f05,50bc6b7b4e19b6180ecfc832474174340431a1b9c81d7f20ae8f3a7bc4b3e66c
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_132936_jpg.rf.4797c14a5b409bdd7903386803b6f4ba.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_132936_jpg.rf.1a7b1db5c7b1c8ef69f3acd57e9e298b.jpg,train,train,2a23ee2373412470177f9e70943489571fa62586d6b4bf7eeef0b3fa57d3da14,bcf6651f6038fe9c4226902b3f6b8bf65539785e159d59697f377cb46ac85b6c
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_132936_jpg.rf.4797c14a5b409bdd7903386803b6f4ba.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_132936_jpg.rf.6fa397dbafce96f78d6f6e2b5523ef3c.jpg,train,train,2a23ee2373412470177f9e70943489571fa62586d6b4bf7eeef0b3fa57d3da14,b585e5090f8d634b172fb5807f6d4e296e2bc997f19d1186364aac215471a1a2
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_132936_jpg.rf.4797c14a5b409bdd7903386803b6f4ba.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_132936_jpg.rf.e4147e1fa4802441af75bc8964cc4477.jpg,train,train,2a23ee2373412470177f9e70943489571fa62586d6b4bf7eeef0b3fa57d3da14,5c00853e4a96446b73341507306587d53105071c62e433cc2248d742e160e721
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_133330_jpg.rf.29505957bd8f36c666842c64aade5616.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_133330_jpg.rf.2cc5b859860feb92216ab3779029e095.jpg,train,train,e0e986cb4d05b65f8abb9af9dec01f7314621c989a5cf936cb4caf69ca75cd6c,96d9bb6df59f58012812c7b61ad61ea7cdfd540ebc35a30f387a692897abb2c7
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_133330_jpg.rf.29505957bd8f36c666842c64aade5616.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_133330_jpg.rf.5d4b963e297173db8478f2f008f73615.jpg,train,train,e0e986cb4d05b65f8abb9af9dec01f7314621c989a5cf936cb4caf69ca75cd6c,b2898b0dfe685978acee8213bf45506367087d7d2b69d9c56943b8e12eb2b64a
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_133330_jpg.rf.29505957bd8f36c666842c64aade5616.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_133330_jpg.rf.f17da0b68c4ac12b62516f109d8caa50.jpg,train,train,e0e986cb4d05b65f8abb9af9dec01f7314621c989a5cf936cb4caf69ca75cd6c,2558fb4a11fa7c0cb4bf6079ce765a102fcc4527c36a6e665c00fc70d7871c6a
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_134513_jpg.rf.b46208c467285b7b76d0b9631795a177.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_134513_jpg.rf.09c1c9792afc13dc43e66f1d5e23add6.jpg,train,train,e49388f49eb77cf9c6ceee251dac8d5949c4f6d0b37b34c6d5866ed750c21faf,ac8defaccf38138fd25588b148f9ec1a66fdffc5033068937048c1690d827ee2
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_134513_jpg.rf.b46208c467285b7b76d0b9631795a177.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240916_134513_jpg.rf.e3a46b9cea40daf4cf887321f939edcf.jpg,train,train,e49388f49eb77cf9c6ceee251dac8d5949c4f6d0b37b34c6d5866ed750c21faf,e30a0cb2d55a86fd79709e91e5c5ee0e23a949428541fc8af3b900048967a70d
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_134527_jpg.rf.78dbb4426c808eaf6cfd59e7fda3fc69.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/test/images/old_20240916_134527_jpg.rf.7c9a4a638ef68df3fded18eca10f0299.jpg,train,test,ffbf4df14d30fb3c3c42e4f8c843bb32d9bfc1742fe9ab97549952421e3b0692,2a2b4dd64322594dd075397a8431e94a58b164f6cbd13b1d0b1d2933b02b314f
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/SAM_1512_JPG_jpg.rf.66d43ea4702c1608bb3039ca5e964cca.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/test/images/SAM_1512_JPG_jpg.rf.5d61fac6d932d91c81658a89c1da0c94.jpg,train,test,68a76559208fb917b4882c6cb205596aac1862cb569d660761499700af29e720,c52c9cdc6a3c0fa1079fcc18c70614e9920f6b6fa8b7766fd043e2f682ba85c5
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_125043-0-_jpg.rf.4d8113c148f82a94eec8e755938d6777.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_125043-0-_jpg.rf.98a9db27ac7e6e23ffb89853f44f852d.jpg,train,train,a185d3f1ab0084996c5958fad783cbf5be0f461755e72ee24413059a023a9f21,cceafbc1dd18a9a604f8fa55fd7fde4b31caa6a0f7028e948ac7c4d945e1b974
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_125043-0-_jpg.rf.4d8113c148f82a94eec8e755938d6777.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_125043-0-_jpg.rf.b05b2a6193b19ad132637c971a27331b.jpg,train,train,a185d3f1ab0084996c5958fad783cbf5be0f461755e72ee24413059a023a9f21,30624d92d6a6dfa1a054743f46b16ee74f8185cbfed15b6768cd8c6c029e84cc
